영문항공사명,korAirline,carrierCode,항공사코드2(ICAO),항공사상태,사업모델,국가,지역
Air Albania,에어 알바니아,ZB,ABN,Active,Full Service Carrier,Albania,유럽
Air Alderney,에어 올더니,n/a,n/a,Startup,Full Service Carrier,Guernsey,유럽
Air Algerie,에어 알제리,AH,DAH,Active,Full Service Carrier,Algeria,중동아프리카
Air Alize,에어 알리제,n/a,RLZ,Active,Charter,New Caledonia,아시아태평양
Air Alps,에어 알프스,A6,LPV,Ceased Operations,Regional/Commuter,Austria,유럽
Air Alsie,에어 알시,6I,MMD,Active,Charter,Denmark,유럽
Air Amami,에어 아마미,n/a,n/a,Failed startup,Low Cost Carrier,Japan,아시아태평양
Air Andorra,에어 안도라,n/a,n/a,Failed startup,Regional/Commuter,Spain,유럽
Air Anka,에어 앙카,TZ,TAH,Active,Cargo,Turkiye,유럽
Air Annobon,에어 아노본,n/a,n/a,Ceased Operations,Full Service Carrier,Equatorial Guinea,중동아프리카
Air Antilles,에어 안틸레스,3S,GUY,Grounded,Regional/Commuter,Guadeloupe,중남미
Air Antwerp,에어 앤트워프,WP,ATW,Ceased Operations,Full Service Carrier,Belgium,유럽
Air Arabia,에어 아라비아,G9,ABY,Active,Low Cost Carrier,United Arab Emirates,중동아프리카
Air Arabia Abu Dhabi,에어 아라비아 아부다비,3L,ADY,Active,Low Cost Carrier,United Arab Emirates,중동아프리카
Air Arabia Egypt,에어 아라비아 이집트,E5,RBG,Active,Low Cost Carrier,Egypt,중동아프리카
Air Arabia Jordan,에어 아라비안 요르단,9P,JAD,Ceased Operations,Low Cost Carrier,Jordan,중동아프리카
Air Arabia Maroc,에어 아라비아 모로코,3O,MAC,Active,Low Cost Carrier,Morocco,중동아프리카
Air Archipels,에어 아쉬펠,n/a,RHL,Active,Charter,French Polynesia,아시아태평양
Air Armenia,에어 아르메니아,QN,ARR,Ceased Operations,Full Service Carrier,Armenia,유럽
Air Astana,에어 아스타나,KC,KZR,Active,Full Service Carrier,Kazakhstan,아시아태평양
Air Astra,에어 아스트라,2A,AWA,Active,Regional/Commuter,Bangladesh,아시아태평양
Air Atlanta Icelandic,에어 애틀랜타 아이슬란드,CC,ABD,Active,Charter,Iceland,유럽
Air Austral,에어 오스트랄,UU,REU,Active,Full Service Carrier,Reunion,중동아프리카
Air Australia,에어 오스트랄리아,VC,AGC,Ceased Operations,Low Cost Carrier,Australia,아시아태평양
Air Bagan,에어 바간,n/a,JAB,Active,Regional/Commuter,Myanmar,아시아태평양
Air Bashkortostan,에어 바슈코르토스탄,ZU,BBT,Ceased Operations,Charter,Russian Federation,유럽
Air Batumi,에어 바투미,n/a,BTM,Ceased Operations,Charter,Georgia,유럽
Air Belgium,에어 벨기에,KF,ABB,Active,Full Service Carrier,Belgium,유럽
Air Bishkek,에어 비쉬케크 ,KR,EAA,Ceased Operations,Full Service Carrier,Kyrgyzstan,아시아태평양
Air Borealis,에어 보레알리스,n/a,LBR,Active,Regional/Commuter,Canada,북미캐나다
Air Botswana,에어 보츠와나,BP,BOT,Active,Full Service Carrier,Botswana,중동아프리카
Air Brasil Linhas Aereas,에어 브라질,n/a,BSL,Ceased Operations,Cargo,Brazil,중남미
Air Bright,에어 프라이트,n/a,BFG,Active,Cargo,Bulgaria,유럽
Air Bucharest,에어 부크레슈티,n/a,BUR,Active,Charter,Romania,유럽
Air Burkina,에어 부르키나,2J,VBW,Active,Full Service Carrier,Burkina Faso,중동아프리카
Air Burundi,에어 부룬디,n/a,PBU,Ceased Operations,Regional/Commuter,Burundi,중동아프리카
Air Busan,에어 부산,BX,ABL,Active,Low Cost Carrier,South Korea,아시아태평양
Air Cairo,에어카이로,SM,MSC,Active,Low Cost Carrier,Egypt,중동아프리카
Air Caledonie,에어 칼레도니,TY,TPC,Active,Regional/Commuter,New Caledonia,아시아태평양
Air Canada,에어 캐나다,AC,ACA,Active,Full Service Carrier,Canada,북미캐나다
Air Canada Jetz,에어 캐나다 제트,AC,ACA,Active,Charter,Canada,북미캐나다
Air Canada Rouge,에어 캐나다 루즈,RV,ROU,Active,Low Cost Carrier,Canada,북미캐나다
Air Caraibes,에어 카라이브,TX,FWI,Active,Full Service Carrier,Guadeloupe,중남미
Air Cargo Carriers,에어 카고캐리어,2Q,SNC,Active,Cargo,United States of America,북미캐나다
Air Cargo Global,에어 카고 글로벌,CW,CCC,Ceased Operations,Cargo,Slovakia,유럽
Air Cargo Malawi,에어 카고 말라위,n/a,n/a,Active,Cargo,Malawi,중동아프리카
Air Carnival,에어 카니발,2S,ACV,Ceased Operations,Full Service Carrier,India,아시아태평양
Air Caucasus,에어 코카서스,n/a,CSG,Ceased Operations,Full Service Carrier,Georgia,유럽
Air CEMAC,에어 씨맥,n/a,n/a,Failed startup,Full Service Carrier,Republic of the Congo,중동아프리카
Air Central China,에어 센트럴,GI,LHA,Active,Cargo,China,아시아태평양
Air Century,에어 센츄리 ,Y2,CEY,Active,Charter,Dominican Republic,중남미
Air Changan,에어 장안,9H,CGN,Active,Full Service Carrier,China,아시아태평양
Air Chathams,에어 차트마스,3C,CVA,Active,Regional/Commuter,New Zealand,아시아태평양
Air China,에어 중국,CA,CCA,Active,Full Service Carrier,China,아시아태평양
Air Choice One,에어 초이스원,3E,ACO,Active,Full Service Carrier,United States of America,북미캐나다
Air Class Cargo,에어 클래스 카고,n/a,QCL,Active,Cargo,Uruguay,중남미
Air Clipper,에어 클립퍼,n/a,n/a,Failed startup,Cargo,South Korea,아시아태평양
Air Congo International,에어 콩고 국제항공,n/a,n/a,Ceased Operations,Charter,Republic of the Congo,중동아프리카
Air Connect,에어 커넥트 항공,KS,KON,Active,Regional/Commuter,Romania,유럽
Air Corail Comoros,에어 코레일 코모로,n/a,n/a,Failed startup,Full Service Carrier,Comoros,중동아프리카
Air Corsica,에어 코시카,XK,CCM,Active,Regional/Commuter,France,유럽
Air Costa,에어 코스타,LB,LEP,Ceased Operations,Regional/Commuter,India,아시아태평양
Air Costa Rica,에어 코스타리카,RI,RII,Ceased Operations,Charter,Costa Rica,중남미
Air Cote d'lvoire,에어 코트디부아르,HF,VRE,Active,Full Service Carrier,Cote d'Ivoire,중동아프리카
Air Creebec,에어 크리벡,YN,CRQ,Active,Regional/Commuter,Canada,북미캐나다
Air Croatia,에어 크로아티아,n/a,n/a,Active,Virtual Carrier,Croatia,유럽
Air Daegu,에어 대구,n/a,n/a,Failed startup,Low Cost Carrier,South Korea,아시아태평양
Air Deccan,에어 데칸,n/a,DKN,Grounded,Low Cost Carrier,India,아시아태평양
Air Dilijans,에어 딜리얀스,RM,NGT,Active,Full Service Carrier,Armenia,유럽
Air Djibouti,에어 지부티,DJ,DJU,Active,Full Service Carrier,Djibouti,중동아프리카
Air Do,에어 두,HD,ADO,Active,Full Service Carrier,Japan,아시아태평양
Air Dolomiti,에어 돌로미티,EN,DLA,Active,Regional/Commuter,Italy,유럽
Air Eagle,에어 이글,n/a,EGA,Active,Charter,Pakistan,아시아태평양
Air Europa Cargo,에어 유로파 카고,n/a,n/a,Active,Cargo,Spain,유럽
Air Europa Express,에어 유로파 익스프레스,X5,OVA,Active,Regional/Commuter,Spain,유럽
Air Europa Lineas Aereas,에어 유로파 항공,UX,AEA,Active,Full Service Carrier,Spain,유럽
Air Excel Tanzania,에어 엑셀 탄자니아,n/a,XLL,Active,Charter,Tanzania,중동아프리카
Air Express Algeria,에어 익스프레스 알제리,n/a,n/a,Active,Charter,Algeria,중동아프리카
Air Falcon,에어 팔콘,FS,FPK,Active,Cargo,Pakistan,아시아태평양
Air Finland,에어 핀란드,OF,FIF,Ceased Operations,Low Cost Carrier,Finland,유럽
Air Flamenco,에어 플라맹고,F4,WAF,Active,Regional/Commuter,Puerto Rico,북미캐나다
Air France,에어 프랑스,AF,AFR,Active,Full Service Carrier,France,유럽
Air Georgia,에어 조지아,DC,AGF,Failed startup,Low Cost Carrier,Georgia,유럽
Air Georgian,에어 조지안,ZX,GGN,Ceased Operations,Regional/Commuter,Canada,북미캐나다
Air Ghana,에어 가나,n/a,GHN,Active,Charter,Ghana,중동아프리카
Air Go,고 에어,n/a,AGY,Ceased Operations,Low Cost Carrier,Egypt,중동아프리카
Air Greenland,에어 그린란드,GL,GRL,Active,Regional/Commuter,Greenland,유럽
Air Guilin,에어 구이린,GT,CGH,Active,Low Cost Carrier,China,아시아태평양
Air Guinea-Bissau,에어 기니 비사우,n/a,n/a,Failed startup,Full Service Carrier,Guinea-Bissau,중동아프리카
Air Guinee Express,에어 기니익스프레스,2U,GIP,Ceased Operations,Regional/Commuter,Guinea,중동아프리카
Air Guinee International,에어 기니 인터내셔널,n/a,n/a,Failed startup,Full Service Carrier,Guinea,중동아프리카
Air Guyane Express,에어 기아나 익스프레스,3S,GUY,Grounded,Full Service Carrier,French Guiana,중남미
Air Hong Kong,에어 홍콩,LD,AHK,Active,Cargo,Hong Kong,아시아태평양
Air Horizont,에어 호라이즌,HT,HAT,Active,Charter,Spain,유럽
Air Iceland Connect,에어 아이슬란드 커넥트,NY,FXI,Active,Regional/Commuter,Iceland,유럽
Air Incheon,에어 인천,KJ,AIH,Active,Cargo,South Korea,아시아태평양
Air India,에어 인도,AI,AIC,Active,Full Service Carrier,India,아시아태평양
Air India Express,에어 인디아 익스프레스,IX,AXB,Active,Low Cost Carrier,India,아시아태평양
Air Indus,에어 인더스,n/a,MPK,Active,Full Service Carrier,Pakistan,아시아태평양
Air Inuit,에어 인뉴이트,3H,AIE,Active,Regional/Commuter,Canada,북미캐나다
Air Italy,에어 이탤리,IG,ISS,Ceased Operations,Full Service Carrier,Italy,유럽
Air Ivoire,에어 아이부아르,VU,VUN,Ceased Operations,Full Service Carrier,Cote d'Ivoire,중동아프리카
Air Jamaica,에어 자메이카 ,JM,AJM,Ceased Operations,Full Service Carrier,Jamaica,중남미
Air Juan,에어 후한,AO,n/a,Active,Charter,Philippines,아시아태평양
Air Karnten,에어 칸텐,n/a,n/a,Failed startup,Regional/Commuter,Austria,유럽
Air Kasai,에어 카사이,n/a,n/a,Ceased Operations,Charter,Democratic Republic of the Congo,중동아프리카
Air Katanga,에어 카탕가,n/a,n/a,Active,Charter,Democratic Republic of the Congo,중동아프리카
Air Kerala,에어 케랄라,n/a,n/a,Failed startup,Low Cost Carrier,India,아시아태평양
Air Kiribati,에어 키리바시,IK,AKL,Active,Regional/Commuter,Kiribati,아시아태평양
Air Koryo,고려항공,JS,KOR,Active,Regional/Commuter,North Korea,아시아태평양
Air Kufra,에어 쿠프라,n/a,n/a,Ceased Operations,Charter,Libya,중동아프리카
Air Kyrgyzstan,에어 키르키스탄,n/a,LYN,Ceased Operations,Full Service Carrier,Kyrgyzstan,아시아태평양
Air Labrador,에어 래브라도,WJ,LAL,Ceased Operations,Regional/Commuter,Canada,북미캐나다
Air Lanna,에어 란나,n/a,n/a,Failed startup,Full Service Carrier,Thailand,아시아태평양
Air LEAP,에어 리프,FL,LPA,Ceased Operations,Regional/Commuter,Sweden,유럽
Air Leasing Cameroon,에어 카메룬,n/a,ICM,Active,Charter,Cameroon,중동아프리카
Air Lebanon,에어 레바논,n/a,n/a,Startup,Charter,Lebanon,중동아프리카
Air Leisure,에어 레저,AL,ALD,Ceased Operations,Low Cost Carrier,Egypt,중동아프리카
Air Leone,에어 리온,n/a,n/a,Ceased Operations,Charter,Sierra Leone,중동아프리카
Air Liaison,에어 리에이존,n/a,LSJ,Active,Regional/Commuter,Canada,북미캐나다
Air Libya,에어 리비아,7I,TLR,Active,Charter,Libya,중동아프리카
Air Link,에어 링크,LZ,n/a,Active,Regional/Commuter,Australia,아시아태평양
Air Lituanica,에어 리투아니아,TT,KLA,Ceased Operations,Regional/Commuter,Lithuania,유럽
Air Loyaute,에어 로와요떼,n/a,RLY,Active,Regional/Commuter,New Caledonia,아시아태평양
Air Macau,에어 마카오,NX,AMU,Active,Full Service Carrier,Macau,아시아태평양
Air Madagascar,에어 마다가스카르,MD,MDG,Active,Full Service Carrier,Madagascar,중동아프리카
Air Madrid,에어 마드리드,n/a,n/a,Ceased Operations,Full Service Carrier,Spain,유럽
Air Majoro,에어 마조로,n/a,MJP,Active,Regional/Commuter,Peru,중남미
Air Malawi,에어 말라위,QM,AML,Ceased Operations,Full Service Carrier,Malawi,중동아프리카
Air Mali,에어 말리,I5,CMM,Ceased Operations,Full Service Carrier,Mali,중동아프리카
Air Malta,에어 말타,KM,AMC,Active,Full Service Carrier,Malta,유럽
Air Manas,에어 마냐스,ZM,MBB,Active,Low Cost Carrier,Kyrgyzstan,아시아태평양
Air Mancora,에어 만코라,n/a,n/a,Failed startup,Full Service Carrier,Peru,중남미
Air Mandalay,에어 만달레이,6T,AMY,Ceased Operations,Full Service Carrier,Myanmar,아시아태평양
Air Mano,에어 마노,n/a,n/a,Failed startup,Low Cost Carrier,Guinea,중동아프리카
Air Mantra,에어 만트라,n/a,n/a,Ceased Operations,Regional/Commuter,India,아시아태평양
Air Marshall Islands,에어 마셜 아일랜드,n/a,CWM,Active,Full Service Carrier,Marshall Islands,아시아태평양
Air Mauritius,에어 모리셔스,MK,MAU,Active,Full Service Carrier,Mauritius,중동아프리카
Air Mediterranean,에어 메디티라아난,MV,MAR,Active,Charter,Greece,유럽
Air Mediterranee,에어 메디테라니,n/a,n/a,Ceased Operations,Charter,France,유럽
Air Mekong,에어 메콩,P8,MKG,Ceased Operations,Full Service Carrier,Vietnam,아시아태평양
Air Memphis,에어 멤피스,n/a,MHS,Ceased Operations,Charter,Egypt,중동아프리카
Air Moldova,에어 모르도바,9U,MLD,Grounded,Full Service Carrier,Moldova,유럽
Air Montenegro,에어 몬테네그로,4O,MNE,Active,Full Service Carrier,Montenegro,유럽
Air Mountain,에어 마운틴,n/a,AMT,Active,Regional/Commuter,Switzerland,유럽
Air Namibia,에어 나미비아,SW,NMB,Ceased Operations,Full Service Carrier,Namibia,중동아프리카
Air Nelson,에어 넬슨,NZ,RLK,Ceased Operations,Regional/Commuter,New Zealand,아시아태평양
Air New Zealand,에어 뉴질랜드,NZ,ANZ,Active,Full Service Carrier,New Zealand,아시아태평양
Air Next,에어 넥스트,7A,NXA,Ceased Operations,Low Cost Carrier,Japan,아시아태평양
Air Niamey,에어 니아메,n/a,AWN,Ceased Operations,Charter,Niger,중동아프리카
Air Nigeria,에어 나이지리아,n/a,NGP,Ceased Operations,Full Service Carrier,Nigeria,중동아프리카
Air Nippon,에어 닛폰,EL,ANK,Ceased Operations,Regional/Commuter,Japan,아시아태평양
Air Niugini,에어 뉴기니,PX,ANG,Active,Full Service Carrier,Papua New Guinea,아시아태평양
Air North,에어 노스,4N,ANT,Active,Regional/Commuter,Canada,북미캐나다
Air Northeast,에어 노스웨스트,n/a,n/a,Failed startup,Regional/Commuter,China,아시아태평양
Air Norway,에어 노르웨이,n/a,n/a,Ceased Operations,Regional/Commuter,Norway,유럽
Air Ocean Airlines,에어 오션항공,n/a,n/a,Grounded,Regional/Commuter,Ukraine,유럽
Air Oceania,에어 오세아니아,n/a,n/a,Startup,Low Cost Carrier,New Caledonia,아시아태평양
Air Odisha,에어 오디샤,n/a,n/a,Ceased Operations,Regional/Commuter,India,아시아태평양
Air One,에어 원,AP,ADH,Ceased Operations,Low Cost Carrier,Italy,유럽
Air One Nine,에어 원나인,N6,ONR,Active,Charter,Libya,중동아프리카
Air Onix,에어 오닉스,OG,ONX,Ceased Operations,Full Service Carrier,Ukraine,유럽
Air Ouest,에어 웨스트,n/a,n/a,Active,Charter,France,유럽
Air Pack Express,에어 팩 익스프레스,n/a,PCK,Active,Charter,Spain,유럽
Air Panama,에어 파나마,7P,PST,Active,Full Service Carrier,Panama,중남미
Air Papaya,에어 파파야,n/a,n/a,Failed startup,Full Service Carrier,Northern Mariana Islands,아시아태평양
Air Peace,에어 피스,P4,APK,Active,Full Service Carrier,Nigeria,중동아프리카
Air Peace Hopper,에어 피스 호프,n/a,n/a,Active,Full Service Carrier,Nigeria,중동아프리카
Air Pegasus,에어 페가수스,OP,PPL,Ceased Operations,Low Cost Carrier,India,아시아태평양
Air Philip,에어 필립,3P,APV,Ceased Operations,Full Service Carrier,South Korea,아시아태평양
Air Pohang,에어 포항,RN,KAB,Ceased Operations,Full Service Carrier,South Korea,아시아태평양
Air Poland,에어 폴란드,4Q,AEI,Ceased Operations,Charter,Poland,유럽
Air Premia,에어 프레미아,YP,APZ,Active,Full Service Carrier,South Korea,아시아태평양
Air Prishtina,에어 프리슈티나,n/a,n/a,Active,Virtual Carrier,Kosovo,유럽
Air Rarotonga,에어 라로통가,GZ,n/a,Active,Regional/Commuter,Cook Islands,아시아태평양
Air Republiq,에어 리퍼블릭,n/a,n/a,Ceased Operations,Regional/Commuter,Philippines,아시아태평양
Air Safaris and Services NZ,에어 사파리 & 서비스NZ,n/a,SRI,Active,Charter,New Zealand,아시아태평양
